,slope,slope_std,x_95,y_std_95,color,label,y_95,metric,std_metric,metric_y_95,metric_y_95_std,x_axis
ice,0.44750497638086,0.28452356880248747,3140.5832892344783,893.5699655744485,blue,ice,1405.426650670999,0.5555460547630289,0.27851928724103053,1744.7386559889108,874.7130192386782,cmd
sand,0.578778955156871,0.3255857894624222,4183.06677527687,1361.9470984025486,darkgoldenrod,sand,2421.0710175461686,0.4706136889222253,0.24890968385665715,1968.6084861210454,1041.205828585452,cmd
gravel,0.6460650135961431,0.278159652352496,4312.396987358325,1199.5348468095426,orange,gravel,2786.0888182696226,0.3879907150024647,0.22826732545293466,1673.169990499631,984.3793265955776,cmd
asphalt,0.7168468241904261,0.49569730734470274,4124.769298596115,2044.6370347321922,pink,asphalt,2956.8277722167963,0.3904256668728419,0.41648450166450707,1610.4158041010126,1717.9024858068613,cmd
grass,0.5963945629181164,0.31047790696509486,4116.431582734143,1278.0610619723095,green,grass,2455.01741456706,0.4357630240618469,0.2634472744515656,1793.7886748359251,1084.4626809376546,cmd
