,slope,slope_std,x_95,y_std_95,color,label,y_95,metric,std_metric,metric_y_95,metric_y_95_std,x_axis
ice,0.4606010250309179,0.28812513037149184,3121.1338876333543,899.2771082812413,blue,ice,1437.5974679026567,0.5414776137657747,0.28419946998509366,1690.0241297192044,887.0245966179142,wheelEncoder
sand,0.6769204063502193,0.3441104051601829,3375.0019132294665,1161.373275777784,darkgoldenrod,sand,2284.6076665360583,0.40734786671837475,0.23845358091754862,1374.7998295244565,804.781291813144,wheelEncoder
gravel,0.7454920217177338,0.2707390243918482,3669.7202031091992,993.5364675808397,orange,gravel,2735.7471333542894,0.2988609753240226,0.22080771672736027,1096.7361590674857,810.3025390768071,wheelEncoder
asphalt,0.8859040867100136,0.8399540174427856,3617.4985536179074,3038.532443204828,pink,asphalt,3204.7567523176676,0.3345853324147932,0.7788409877379553,1210.3619560722811,2817.4561466403957,wheelEncoder
grass,0.7456583070819898,0.2767219230071492,3167.3903517482354,876.4863490500625,green,grass,2361.790927552417,0.30412281773527383,0.2208484348188401,963.2756786411935,699.5132016438931,wheelEncoder
