,slope,slope_std,x_95,y_std_95,color,label,y_95,metric,std_metric,metric_y_95,metric_y_95_std,x_axis
ice,0.4606010250309179,0.28812513037149184,3121.1338876333543,899.2771082812413,blue,ice,1437.5974679026567,0.5414776137657747,0.28419946998509366,1690.0241297192044,887.0245966179142,wheelEncoder
grass,0.7456583070819898,0.2767219230071492,3167.3903517482354,876.4863490500625,green,grass,2361.790927552417,0.30412281773527383,0.2208484348188401,963.2756786411935,699.5132016438931,wheelEncoder
