,slope,slope_std,x_95,y_std_95,color,label,y_95,metric,std_metric
ice,0.44750497638086,0.28452356880248747,3140.5832892344783,893.5699655744485,blue,ice,1405.426650670999,0.5555460547630289,0.27851928724103053
asphalt,0.7168468241904261,0.49569730734470274,4124.769298596115,2044.6370347321922,pink,asphalt,2956.8277722167963,0.3904256668728419,0.41648450166450707
